"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Carino, vale i soldi e ottieni rapidamente un pezzo di storia della città in cui ti trovi. Le sedie vanno su e giù.";"67.58";"16.33";"Cute, worth the money and quickly get a piece of history of the city where you are. The chairs go up and down.";2;"22.30";"0.54";"1.79";"2.30";"66.07";"2.94";"3.86";"0.21"
"Dae fare con i bambini. Siamo entrati senza prenotazione perché stavamo passando di li. Nessun problema per ottenere i biglietti ed entrare subito. L'abbiamo fatto il giorno del nostro arrivo a Roma.";"18.27";"55.62";"Dae do with children. We walked in without a reservation because we were passing by them. No problem to get tickets and go right away. We did it on the day of our arrival in Rome.";2;"26.90";"1.22";"27.71";"14.65";"8.40";"12.84";"7.59";"0.69"
"Ho preso mia figlia che ha 30 anni e i miei 3 nipoti 5,9 e 10. Prima di tutto andate a vedere la storia di Roma guardando le informazioni di come tutto è iniziato. Come governavano gli imperatori ..quindi siamo stati introdotti in una sala con un grande cinema ... c'erano posti per famiglie intere, 2 file di 5 o 6 ed è come se stessi per sederti su un giro sulle montagne russe ... ma non lasci la stanza! si alza rapidamente e una barra e ti gira sulle ginocchia (pensi al primo film del parco Jurrassic? Quando gli scienziati vengono condotti in un'area che gira intorno al laboratorio? È esattamente così!) .. all'improvviso tutte le luci si spengono. .dopo aver messo gli occhiali di dimensioni diverse per adulti e bambini Lo schermo inizia e inizia la tua esperienza..come un simulatore di sensazioni... la 3D / 4D è brillante i miei nipoti stavano ""trasudando e ansimando ""mentre le creature marine nuotavano attorno.. i dinosauri che camminavano con loro ...devo dire che era un po 'caro ma ""Quando a Roma, vivi ciò che i romani facevano..e la loro la vita"" ahah che esperienza. Sto pensando di tornare nel 2020  ad aprile per portare mio figlio di 14 anni ... se ti piacciono i giochi VR questo è per te.";"41.60";"25.32";"I took my daughter who is 30 years old and my 3 nephews 5,9 and 10. First of all go see the history of Rome looking at the details of how it all started. As emperors ruled the ..then we were ushered into a room with a large cinema ... there were places for families, 2 to 5 or 6 files and is as if you were to sit on a roller coaster ride ... but you leave the room! rises rapidly and a bar and you turn on the knees (think of the first film of Jurrassic park? When scientists are conducted in an area that runs around the lab? That's exactly it!) .. suddenly all the lights go out . .after putting glasses of different sizes for adults and children The screen begins and start your esperienza..come simulator sensations ... 3D / 4D is brilliant my nephews were ""oozing and panting"" while sea creatures swam around .. dinosaurs that walked with them ... i must say i was a bit 'expensive but ""When in Rome, live what the Romans facevano..e their life"" haha ??that experience. I am planning to return in 2020 in April to bring my 14 year old son ... if you like VR games this is for you.";2;"17.36";"1.70";"5.52";"30.65";"12.07";"7.58";"24.93";"0.20"
"In generale, la cosa è semplicemente TOP. Inizialmente, pensavo che si trattasse di un normale cinema 5D, che nei nostri paesi ha 3 pezzi per cantiere, ma mi sbagliavo. La cosa più bella è che qui viene proiettato un film su Roma, la sua creazione, il Rinascimento e altro fascino, e in mezz'ora del film imparerai in più di 3 giorni di escursioni. Consiglio vivamente a tutti di andare al film immediatamente all'arrivo a Roma, quindi passeggiare per questa città sarà molto più interessante. E costa 10 volte più economico della Guida.";"3.94";"0.21";"In general, the thing is just TOP. Initially, I thought it was a normal film 5D, which in our country has three pieces to the construction site, but I was wrong. The best thing is that here there is movie on Rome, its creation, the Renaissance and more charm, and within half an hour of the movie you'll learn in more than three days of hiking. I highly recommend everyone to go to the movies immediately on arrival in Rome, then walk around this city will be much more interesting. It costs 10 times cheaper help.";2;"9.05";"0.85";"8.31";"7.00";"36.12";"19.35";"18.35";"0.97"
"Le visite guidate della città standard quando si viaggia con bambini sono di solito piuttosto noiose. In Time Elevator, la storia di Roma è raccontata in un modo piuttosto interessante, oltre a molti effetti sonori e visivi. Siamo rimasti molto soddisfatti! I bambini hanno poi passeggiato per la città con grande interesse e anche gli adulti :) Il personale è molto gentile, puoi scattare foto tematiche. Lo consiglio vivamente!";"98.16";"1.47";"Guided tours Standard city when traveling with children are usually pretty boring. In Time Elevator, Rome's history is told in a rather interesting, as well as many sound and visual effects. We were very pleased! The children then walked around the city with great interest and even adults :) The staff is very nice, you can take pictures themes. I highly recommend it!";3;"0.99";"6.39";"0.65";"3.14";"80.86";"2.18";"4.48";"1.31"
"In Italia ci sono molte belle città, monumenti storici unici, capolavori della cultura e dell'arte mondiale. Andando in vacanza a Roma, mi è stato consigliato di visitare ""Time Elevator Rome"" e non me ne sono pentito affatto, questo è un emozionante viaggio nel tempo, passato, un'opportunità per presentare la storia e la cultura di Roma. Quasi tutta la storia passerà sotto i nostri occhi, dai fondatori della capitale, al tradimento di Cesare, all'imperatore Nerone e al fuoco della città, al Colosseo, a Michelangelo e alla sua Cappella Sistina, a Mussolini e molto altro. Si presenta l'opportunità di fare un viaggio virtuale attraverso i famosi monumenti dell'architettura. Tre enormi schermi panoramici, effetti speciali, una piattaforma mobile, ti permettono di sentire tutta la credibilità dell'azione. I genitori con bambini vengono lì, ho anche visto gruppi di bambini. Posso dire una cosa, questo è un capolavoro !!!! Un sacco di impressioni ed emozioni !!!! Consiglio a tutti di visitare questo posto meraviglioso!";"97.56";"3.67";"In Italy there are many beautiful cities, unique historical monuments, masterpieces of art and world culture. Going on vacation in Rome, I was advised to visit ""Time Elevator Rome"" and I have not regretted it at all, this is an exciting journey through time, past, an opportunity to present the history and culture of Rome. Almost all of history will pass before our eyes, from the founding of the capital, to the betrayal of Caesar, the emperor Nero and the fire of the city, the Colosseum, Michelangelo and his Sistine Chapel, Mussolini and more. It presents an opportunity to take a virtual trip through the famous architectural monuments. Three huge panoramic screens, special effects, a moving platform, let you feel all the credibility. Parents with children are there, I saw groups of children. Can I say something, this is a masterpiece !!!! A lot of impressions and emotions !!!! I recommend everyone to visit this wonderful place!";3;"0.33";"18.30";"0.23";"2.36";"71.02";"1.24";"6.06";"0.46"
"Ho assistito agli spettacoli di Time Elevator sull'Origine della Vita e la Storia di Roma, li ho trovati molto simpatici e istruttivi. Adatti a un pubblico di famiglie in cerca di un'attività divertente, durano complessivamente un'oretta e hanno il vantaggio di essere nel cuore di Roma, lungo via del Corso e a due passi da piazza Venezia.";"0.02";"0.01";"I attended the shows of Time Elevator on the Origin of Life and History of Rome, I found them very funny and instructive. Suitable for a family audience in search of a fun activity, lasting a total of an hour and have the advantage of being in the heart of Rome on Via del Corso, and a short walk from Piazza Venezia.";3;"8.07";"9.39";"5.55";"14.29";"33.13";"10.81";"11.71";"7.05"
"È stato molto, molto più divertente delle recensioni. Io e il mio nan siamo andati e siamo stati benissimo. L'unico aspetto negativo è che potrebbe essere più lungo quando ho preso quello romano che era 45 minuti. A parte questo, è stato fantastico!";"79.90";"35.46";"It was much, much more fun to the reviews. Me and my nan went and had a great time. The only downside is that it could be longer when I took the Roman it was 45 minutes. Apart from that, it was great!";2;"0.25";"0.11";"0.20";"0.38";"82.78";"0.45";"15.81";"0.03"
"Si scopre che la storia è molto divertente! Passato per caso di fronte a un luogo chiamato Time Elevator, Time Lift. La curiosità non ci ha deluso! Personale molto cordiale e sorridente, che ci ha consigliato di fare una combinazione di film sulla storia di Roma e l'evoluzione della vita. I rendering sono molto divertenti grazie agli effetti speciali: sedie in movimento, vento, pioggia, effetti sonori e immagine surround. Ad un certo punto, ti senti davvero un partecipante a tutto ciò che accade! Dopo la presentazione, lo staff ha suggerito di cambiare in abiti romani e di scattare una foto come ricordo senza alcun costo aggiuntivo. C'è un negozio di articoli da regalo molto carino sul posto!";"77.38";"4.93";"It turns out that the story is very funny! Passed by accident in front of a place called the Time Elevator, Time Lift. Curiosity did not disappoint! Very friendly staff and smiling, who advised us to do a combination of films about the history of Rome and the evolution of life. The renderings are very entertaining thanks to special effects: moving chairs, wind, rain, sound effects and surround image. At some point, you really feel a participant in everything that happens! After the presentation, the staff suggested changing in Roman dress and take a photo as a souvenir at no extra charge. There is a shop very cute gift on the spot!";2;"0.01";"0.13";"0.00";"0.03";"99.58";"0.03";"0.18";"0.05"
"Se sei a Roma, ti consiglierei di iniziare il tuo viaggio con questa esperienza! È una bella introduzione alla storia di Roma in un modo molto divertente e divertente! Soprattutto se viaggi con bambini. I nostri bambini sono stati più che felici! I bambini non si annoieranno a causa degli effetti speciali e dei sedili mobili ed è anche molto divertente per gli adulti! Dopo lo spettacolo ci hanno offerto di scattare una foto in abiti tradizionali romani assolutamente gratis e questa è stata un'esperienza favolosa! Così tanto divertimento! Ci hanno anche offerto di provare una realtà virtuale e di vedere com'era prima Roma. E i prezzi sono molto convenienti. Grazie mille allo staff, molto attento, sorridente e ben educato! Consiglierei a tutti questa esperienza!";"99.25";"0.49";"When in Rome, I would recommend you start your trip with this experience! It's a nice introduction to the history of Rome in a very fun and entertaining way! Especially if you travel with children. Our children were more than happy! The children will not get bored because of the special effects and removable seats and is also fun for adults! After the show they offered to take a picture in Roman traditional clothes absolutely free and this was a fabulous experience! So much fun! They even offered to try a virtual reality and seeing as it was before Rome. And the prices are very affordable. Many thanks to the staff, very attentive, smiling and extremely polite! I would recommend this experience to everyone!";3;"18.10";"0.97";"15.83";"11.06";"12.65";"33.94";"3.01";"4.44"
"Quattro di noi sono andati ieri, molto colpiti dalla presentazione, adatti a tutte le età, dai giovani agli anziani, appena fuori Via Corsi in una stradina altamente raccomandato";"8.81";"56.72";"Four of us went yesterday, very impressed by the presentation, suitable for all ages, from young to old, just off Via courses in a highly recommended lane";3;"37.56";"1.35";"5.47";"6.19";"30.12";"13.82";"4.43";"1.07"
"Io e mio marito abbiamo pensato ad un attività per coinvolgere e far divertire la nostra bambina di 9 anni ma allo stesso tempo per farle imparare qualcosa sulla storia di Roma la città in cui vive e...devo dire che con il Time Elevator ci siamo riusciti ! E' perfetto x unire insegnamento e divertimento...mia figlia è quasi impazzita poi per il filmato sul big bang che aveva da poco studiato a scuola soprattutto quando ha potuto quasi toccare i pesci le meduse e i dinosauri che con la realtà virtuale le venivano addosso...è un vero museo interattivo!";"0.41";"0.43";"My husband and I have thought about a business to engage and entertain our little girl of nine years but at the same time to make them learn something about the history of Rome, the city where he lives ... and I must say that with the Time Elevator we succeeded! And 'perfect x combine education and fun ... my daughter is almost gone mad then for the movie to the big bang that had just studied in school especially when he could almost touch the fish and jellyfish dinosaurs with virtual reality were on him ... it is a true interactive museum!";2;"27.94";"0.86";"10.29";"5.98";"26.99";"21.58";"3.52";"2.82"
"Va bene per i piccoli ma anche x grandi,ci sono stata con i miei figli e mio marito... bellisima esperienza, la consiglio vivamente...Mimmy";"59.62";"16.08";"Okay for small but also large x, there I was with my children and my husband ... beautifull experience, I highly recommend ... Mimmy";1;"26.78";"4.10";"5.42";"12.66";"34.16";"8.01";"6.39";"2.48"
"Grande esperienza per tutti noi. Le mie figlie lo adoravano. Mia figlia minore ha chiesto di ripeterlo! ! Le mie altre due figlie hanno imparato di più sulla città e cosa avrebbero visto nei prossimi giorni";"32.30";"51.56";"Great experience for all of us. My daughters adored him. My younger daughter asked to repeat it! ! My two daughters have learned more about the city and what they would see in the coming days";2;"2.84";"2.58";"1.66";"7.74";"60.74";"4.02";"20.14";"0.29"
"Molto ben informato e organizzato molto bene e in modo intelligente.
Ti piacerà.
Buon valore anche per i soldi.";"99.22";"1.05";"Very informative and very well organized and intelligently.
You will like it.
Good value for money too.";3;"3.37";"1.23";"2.77";"4.82";"67.86";"11.59";"4.63";"3.72"
"Ci siamo divertiti un sacco!!Esperienza unica!!da fare assolutamente...soprattutto per i bambini ma non solo..";"22.48";"62.47";"We enjoyed it a lot !! !! Unique experience to do absolutely ... especially for children, but not only ..";2;"20.66";"1.48";"8.78";"7.55";"29.68";"23.25";"6.43";"2.18"
"Noi italiani abbiamo sempre paura di essere fregati dalle attrazioni turistiche di questo tipo, ma fidatevi che l'opera vissuta in questo modo convince anche i più scettici o chi di norma durante le opere liriche a teatro dorme per tutto il tempo. Ottimi interpreti in una scenografia molto elegante, 3 sale per 3 atti diversi. Siete riusciti a far apprezzare l'opera e a non far russare mio marito, quindi che dire: BRAVI!!!";"95.27";"4.74";"We Italians have always afraid of being ripped off from the tourist attractions of this kind, but trust that the work lived in this way convince the most skeptical or even those who normally during the theater opera sleeps all the time. Excellent performers in a very elegant setting, 3 rooms for three different acts. You've managed to make people appreciate the work and not to my husband snores, then you say WELL DONE !!!";2;"3.13";"17.17";"2.22";"10.98";"42.47";"6.42";"8.56";"9.04"
"Superba. La migliore notte d'opera che abbiamo mai avuto. C'erano solo 14 spettatori a causa dell'aqua alta ma gli artisti hanno dato il massimo. Se ti piace l'opera, non perdere assolutamente questo.";"9.94";"40.37";"Superb. The best night of work we've ever had. There were only 14 spectators because of the Aqua high but the artists did their best. If you like the work, not to be missed this.";2;"5.54";"0.88";"3.44";"3.49";"68.65";"8.96";"3.85";"5.20"
"Un modo meraviglioso di vivere l'opera. Molto intimo ti senti connesso con gli artisti, tutti eccezionali. Mi è piaciuto molto, un'esperienza da ricordare grazie";"99.30";"1.03";"A wonderful way to experience the work. Very intimate you feel connected with the artists, all exceptional. I loved it, an experience to remember thanks";4;"0.01";"0.05";"0.01";"0.02";"99.64";"0.03";"0.15";"0.10"
"L'intera serata è stata così piacevole. La musica, l'atmosfera, è semplicemente perfetta. Ci siamo davvero divertiti, altamente divertente";"99.64";"1.69";"The whole evening was so enjoyable. The music, the atmosphere is just perfect. We really enjoyed ourselves, highly entertaining";4;"0.02";"1.26";"0.02";"0.21";"96.64";"0.10";"1.70";"0.04"
"Non sono mai stato all'opera prima di essere portato a Musica a Palazzo da mia nipote e non ero sicuro di cosa aspettarmi. La performance intima di La Traviata, eseguita da soli tre solisti e tre musicisti in una vecchia e gloriosa casa a Venezia, è stata meravigliosa. I tre atti sono stati eseguiti in tre stanze diverse, le voci dei solisti hanno riempito la casa e mi hanno fatto venire la pelle d'oca. Essere così vicini e coinvolti nello spettacolo è stato emozionante ed esaltante. Mi è dispiaciuto quando è finito e tornerò la prossima volta che visiterò Venezia. Consiglio vivamente questa esperienza. Vestiti elegantemente e trova la posizione alla luce del giorno. Prenotazione è essenziale e posti a sedere è non allocato, il prosecco è servito nel primo intervallo, un bel tocco.";"99.27";"6.30";"I've never been at work before being taken to Musica a Palazzo from my niece and I was not sure what to expect. The intimate performance of La Traviata, performed by only three soloists and three musicians in an old and glorious home in Venice, was wonderful. The three acts were performed in three different rooms, the voices of the soloists filled the house and made me goose bumps. Being so close and involved in the show was exciting and exhilarating. I was sad when it was over and be back the next time I visit Venice. I highly recommend this experience. Dresses stylishly and find the position in the light of day. Booking is essential and seating is not allocated, prosecco is served in the first interval, a nice touch.";2;"0.02";"0.39";"0.01";"0.06";"99.04";"0.05";"0.36";"0.07"
"Non essendo mai stato a un'opera, ma sempre volendo, questa era un'introduzione divina. La giusta durata, performance intima e posizione atmosferica. Era semplicemente perfetto. Mi è piaciuto ogni secondo. Grande valore e un'esperienza davvero speciale.";"98.88";"0.52";"Never having been to a work, but always willing, this was an introduction divine. The right term, intimate performances and atmospheric location. It was just perfect. I loved every second. Great value and a very special experience.";3;"0.06";"0.01";"0.03";"0.04";"98.53";"0.10";"1.22";"0.01"
"Abbiamo deciso di vedere l'Opera itinerante per assaggiare la ricca cultura e musica italiana in un ambiente interessante. Le prestazioni hanno superato le nostre aspettative a tutti i livelli. Non abbiamo partecipato a molte opere, tuttavia amiamo tutti i tipi di musica e teatro, e questa è stata un'esperienza che ricorderemo per sempre. Le voci erano semplicemente fantastiche. Era un po 'affollato e in alcune stanze, un po' claustrofobico, ma la performance musicale superava il mio disagio. Consiglio vivamente questo spettacolo se ami la musica!";"83.92";"55.77";"We decided to see the traveling Opera to sample the rich culture and Italian music in an interesting setting. The performance exceeded our expectations on all levels. We have participated in many works, but we love all kinds of music and theater, and this was an experience that we will remember forever. The items were simply fantastic. It was a bit 'crowded and in some rooms, a bit' claustrophobic, but the musical performance exceeded my discomfort. I highly recommend this show if you love music!";2;"1.01";"0.34";"0.37";"0.97";"87.29";"0.90";"9.05";"0.08"
"Mi piace l'opera e frequento regolarmente i miei locali a casa. Pensavo che sarebbe stata una performance perfetta per partecipare, dato che era diverso da un normale teatro dell'opera. Ho visto il barbiere di Siviglia. Non avrei potuto essere più colpito! Ottimo locale, prestazioni eccellenti! !";"79.92";"28.44";"I like the work and regularly attend my local home. I thought it would be a perfect performance to take part, given that it was different from an ordinary opera house. I saw the Barber of Seville. I could not be more impressed! Great place, excellent performance! !";3;"3.63";"0.06";"0.20";"0.26";"94.54";"0.37";"0.92";"0.03"
"Questa è stata una serata eccellente vivendo l'opera per la prima volta (anche se siamo stati molto fortunati all'inizio del giorno in cui abbiamo visitato La Fenice perché ci è stato permesso di assistere a una prova dai posti nella Royal Box). Abbiamo controllato la posizione il giorno prima, ma è stato molto facile da trovare, siamo scesi dal taxi acquatico a Giglio e poi vieni in una piazza dove alla tua destra c'è un ristorante, L'atmosfera in questa bella ""casa"" è piuttosto elettrizzante e aggiunge all'esperienza. La performance che abbiamo visto è stata il Barbiere di Siviglia, è stato in 3 atti tutti in stanze diverse, molto a lume di candela e tutti hanno avuto una buona visione, e sì gli artisti interagiscono con il pubblico. È stata una serata meravigliosavai dritto e gira a sinistra e c'è un ponte - ha il cartello dell'opera pubblicato, andare lungo il canale e prendere la prima svolta a destra e 2504 è giù alla fine. non aprono le porte fino alle 8 di sera ma c'è un bel bar vicino al ponte.";"5.06";"7.56";"This was an excellent evening experiencing the work for the first time (even though we were very lucky at the beginning of the day when we visited La Fenice because we were allowed to witness a test from the seats in the Royal Box). We checked the position the day before, but it was very easy to find, we got off the water taxi to Lily and then come in a square where on your right there is a restaurant, the atmosphere in this beautiful ""home"" is quite electrifying and adds to the experience. The performance we saw was the Barber of Seville, has been in three acts all in different rooms, very candlelight and all had a good view, and yes the artists interact with the public. It was an evening meravigliosavai straight and turn left and there is a bridge - has published the work sign, go along the canal and take the first right turn and in 2504 is down at the end. do not open the doors until 8 in the evening but there is a nice bar next to the bridge.";2;"2.12";"4.85";"0.73";"4.05";"80.40";"2.26";"5.01";"0.57"
"Questa è stata una bellissima e divertente esperienza. Non conoscevo la storia di Barbiere di Siviglia, ma questo non ha influito sul godimento. Brillante idea di spostare il pubblico in stanze diverse per le scene che cambiano. L'intimità dell'ambiente ti fa sentire parte della produzione chee ha interagito con il pubblico. La posizione si aggiunge all'atmosfera, altamente raccomandato!";"90.81";"3.91";"This was a wonderful and fun experience. I did not know the story of The Barber of Seville, but this did not affect the enjoyment. Brilliant idea to move the audience in different rooms for scenes that change. The intimacy of the environment makes you feel part of chee production has interacted with the public. The location is added to the atmosphere, highly recommended!";3;"17.79";"0.72";"5.79";"5.48";"51.10";"12.29";"4.54";"2.30"
"Dopo 2 giorni di grande opera a Verona (Carmen, Aida) con un cast di centinaia e un pubblico di migliaia abbiamo passato un paio di giorni a Venezia e abbiamo visto un annuncio per un'esibizione del Barbiere di Siviglia. Senza sapere nulla del locale o della compagnia d'opera che avevamo prenotato per la stessa sera. Come altri recensori hanno notato, è in una posizione molto improbabile e difficile da trovare, specialmente quando non sai cosa stai cercando. L'abbiamo trovato solo perché abbiamo notato un po 'di gente che aspettava un po' gli amanti dell'opera!

La performance del ""salotto"" è stata così piacevole. I musicisti e gli artisti erano totalmente professionali e interagivano direttamente con il pubblico di circa 50 persone - le loro espressioni facciali, i gesti e le coreografie potevano essere condivise in un modo che non è possibile su un palcoscenico. Ho pensato che l'ambiente fosse particolarmente adatto per un'opera buffa, ma mi piacerebbe molto tornare a vedere come il loro Rigoletto funziona in questo contesto.

Ho pensato che l'idea di trasferirsi in stanze diverse per atti diversi fosse piuttosto ispirata. Ciò significava che il pubblico ""ruotava"" in modo naturale in modo che la gente che iniziava dietro si avvicinava al suo turno.";"0.00";"0.00";"After two days of great opera in Verona (Carmen, Aida) with a cast of hundreds and an audience of thousands we spent a few days in Venice and we saw an advertisement for a performance of the Barber of Seville. Without knowing anything about the local or the opera company that we had booked for the same evening. As other reviewers have noted, it is in a very unlikely and difficult location to find, especially when you do not know what you are looking for. We found it just because we noticed a bit 'of people waiting a little' opera lovers!

The ""living performance"" was so enjoyable. Musicians and artists were totally professional and interacted directly with the audience of about 50 people - their facial expressions, gestures and choreography could be shared in a way that is not possible on a stage. I thought the environment was particularly suitable for a comic opera, but I would love to return to see how their Rigoletto works in this context.

I thought the idea of ??moving to different rooms for different acts was rather inspired. This meant that the public ""rotated"" in a natural way so that the people who started behind approached his turn.";2;"0.01";"0.04";"0.01";"0.02";"99.48";"0.07";"0.18";"0.19"
"Amo l'opera ma non ho molto accesso ad essa dove vivo. Quindi, non appena ho saputo che stavo passando 2 notti a Venezia, ho prenotato i biglietti per La Fenice e Musica a Palazzo. Mentre La Fenice è stata eccezionale, è stato proprio Musica a Palazzo a distinguersi - è stato incredibile essere così vicini ai cantanti e al quartetto in un contesto così meraviglioso. Lo consiglierei a chiunque (valeva decisamente la pena ""sguazzare""). L'unica cosa che vorrei notare, è di aspettarsi un cast molto piccolo - La Traviata è stata tagliata solo a Violetta, Alfredo e Giorgio. Con il senno di poi questo ha un senso totale dato l'ambiente intimo, ma mi sarebbe piaciuto sapere aspettarmelo, visto che non vedevo l'ora di vedere un ensemble più grande. Tuttavia, lo raccomanderei assolutamente.";"35.89";"57.39";"I love the work but do not have much access to it where I live. So as soon as I knew I was going 2 nights in Venice, I booked tickets to La Fenice and Music Palace. While La Fenice was outstanding, it was just a distinguished Musica a Palazzo - it was amazing to be so close to the singers and the quartet in such a wonderful environment. I would recommend it to anyone (definitely worth the ""wallow"" penalty). The only thing I would note is to expect a very small cast - La Traviata was only cut to Violetta, Alfredo and Giorgio. With hindsight this makes total sense given the intimate setting, but I would have liked to know expected it, because I could not wait to see a larger ensemble. However, I would recommend it absolutely.";2;"0.38";"0.98";"0.21";"1.04";"92.33";"0.99";"3.91";"0.16"
"Trova il posto alla luce del giorno prima di provare a trovarlo di notte. È giù un vicolo, poi a sinistra. È segnato se lo cerchi. Gli edifici hanno numeri come qualsiasi città. Usali.
L'opera stessa è stata ben eseguita. Potresti essere sorpreso di quanto sia affascinante avere qualcuno che canta a grandi passi da te, lo ero. Ci sono viaggiatori, gente del posto, appassionati di opera che si godono la performance con te. Ne vale la pena se ti piacciono le vecchie case e le esibizioni dal vivo anche un po '.";"6.00";"6.96";"Find the place in daylight before trying to find it at night. It's down an alley, then left. It is marked if you look for it. The buildings have numbers like any city. Use them.
The work itself was well executed. You might be surprised how fascinating to have someone who sings striding from you, I was not. There are travelers, locals, opera fans who enjoy the performance with you. It's worth it if you love old houses and live performances even a little '.";2;"47.86";"3.47";"3.34";"12.32";"21.28";"7.39";"3.92";"0.41"
"Questa è stata un'esperienza magica dall'inizio alla fine. All'inizio dovevamo trovare il Palazzio dove si svolgeva l'Opera itinerante. Telefono e mappa in mano ci siamo allontanati dalla nostra Pensione vicino a Piazza San Marco tra folle di gente, canali, strade strette fino a quando abbiamo trovato la nostra destinazione, il cinquecentesco Palazzo Barbarigo Minotto. Come sapevamo che ce l'avevamo fatta? C'era un regalo di benvenuto in abito da cerimonia pronto a guidarci nel palazzo e al piano di sopra per l'appartamento in cui l'Opera veniva eseguita da Musica a Palazzo.
Gli interpreti sono stati superbi in quanto hanno presentato un libretto de La Traviata accompagnato da un pianoforte e un quartetto d'archi.
Il pubblico contava circa 100 e aveva un'età compresa tra i 10 anni e gli 80 anni. I posti erano comodi e ogni salone era ben arredato permettendo al pubblico e agli artisti di interagire. La qualità e la vicinanza degli artisti hanno dato vita alla storia di Verdi. Con ogni cambio di scena ci siamo spostati in un altro salone, consentendo al pubblico di sedersi in spazi diversi, dando un aspetto diverso alla loro esperienza della performance.
Questo concetto di performance lirica è eccellente per gli amanti dell'opera, quelli che si impegnano per la prima volta con l'opera e per rendere l'opera dal vivo per i più giovani. Il ragazzo di 10 anni, come ogni altro membro del pubblico, era impegnato e assorbito dalla performance.
Vorrei tornare ad un'altra performance intima di Musica a Palazzo, sia a Venezia che in qualsiasi altro luogo del mondo.";"0.08";"0.04";"This was a magical experience from start to finish. At first we had to find the Palazzio where they spent touring the Opera. Telephone and map in hand we have drifted from our Pension near Piazza San Marco in crowds of people, canals, narrow streets until we found our destination, the sixteenth-century Palazzo Barbarigo Minotto. As we knew that we had managed? There was a ceremonial dress welcome gift ready to guide us into the building and upstairs to the apartment where the work was performed by Musica a Palazzo.
The actors were superb as they have presented a booklet of La Traviata accompanied by a piano and a string quartet.
The audience numbered about 100 and were aged between 10 years and 80 years. The seats were comfortable and each room was beautifully decorated allowing the public and artists to interact. The quality and the proximity of the artists gave life to the story of Verdi. With every change of scene we moved to another room, allowing the public to sit in different spaces, giving a different look to their experience of the performance.
This concept of opera performance is excellent for opera lovers, those who engage for the first time with the work and to make the live opera for young people. The 10-year-old boy, like every other member of the public, was engaged and absorbed by the performance.
I would go to another intimate performance at the Palace Music, both in Venice and in any other place in the world.";2;"0.93";"0.65";"0.42";"0.85";"90.92";"0.99";"5.00";"0.25"
"Ho prenotato i biglietti 9 mesi prima dello spettacolo (anche se c'erano ancora posti limitati disponibili il giorno). L'ambientazione era perfetta (anche se MOLTO CALDO - prendi acqua e un ventilatore) e le prestazioni erano sbalorditive. Non avevo mai visto un'opera prima e, anche se nel programma avevo solo la breve sinossi da usare per seguire la storia - recitare, cantare e ballare in qualche modo ha dato vita alla storia - anche se era (ovviamente) tutto in italiano. Una vera delizia e l'acustica l'hanno resa ancora migliore.";"11.54";"2.67";"Booked tickets nine months before the show (although there were still limited places available on the day). The setting was perfect (although VERY HOT - take water and a fan) and the performance was stunning. I had never seen an opera before and, although the program had only brief synopsis to be used to follow the story - acting, singing and dancing in some way gave the story to life - even if it was (of course) all in Italian. A real treat and the acoustics have made it even better.";2;"8.81";"1.16";"5.95";"6.11";"52.65";"11.34";"12.75";"1.23"
"È un grande spettacolo e i cantanti erano molto bravi. Sarebbe stato meglio se si trovasse in uno scenario diverso ma è stata una bellissima esperienza. Era un po 'breve però.";"86.63";"44.93";"It's a great show and the singers were very good. It would be better if it were in a different scenario, but it was a wonderful experience. It was a bit 'short though.";3;"0.61";"0.34";"0.69";"1.42";"88.15";"3.44";"1.83";"3.51"
